cat,pid,p_name,cpu,disk,ram,bandwidth,bps,price,period,aff,create_time,update_time
Hybrid Dedicated Servers,6,Dual E5-2690 | 16 GB RAM,,,16 GB,10TB,1Gbps,79.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=6,2024-11-06 10:29:34,2025-05-18 14:36:14
Hybrid Dedicated Servers,7,Dual E5-2690 | 32 GB RAM,,,32 GB,10TB,1Gbps,99.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=7,2024-11-06 10:29:34,2025-05-18 14:36:14
Colocation,8,Single Server Colocation,,,,10TB,1Gbps,179.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=8,2024-11-06 10:29:34,2025-05-18 14:36:14
Colocation,9,Quarter Rack Colocation,,,,30TB,1Gbps,599.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=9,2024-11-06 10:29:34,2025-05-18 14:36:14
Colocation,10,Half Rack Colocation,,,,100TB,1Gbps,999.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=10,2024-11-06 10:29:34,2025-05-18 14:36:14
Dedicated Servers,12,Intel Xeon E3-1230 v2 | 16GB RAM | 480 GB SSD,,16 GB,16 GB,35 TB,1Gbps,139.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=12,2024-11-06 10:29:34,2025-05-18 14:36:14
Dedicated Servers,869,Intel Xeon E3-1270 v3 | 32GB RAM | 2x 1TB SSD,,32 GB,32 GB,35 TB,1Gbps,169.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=869,2024-11-06 10:29:34,2025-05-18 14:36:14
Dedicated Servers,867,Dual Intel Xeon E5-2650 v2 | 64GB RAM | 1TB SSD,,64 GB,64 GB,100 TB,1Gbps,199.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=867,2024-11-06 10:29:34,2025-05-18 14:36:14
Dedicated Servers,871,Dual Intel Xeon E5-2650 v2 | 128GB RAM | 1TB SSD + 3TB HDD,,128 GB,128 GB,50 TB,1Gbps,245.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=871,2024-11-06 10:29:34,2025-05-18 14:36:14
Dedicated Servers,868,Dual Intel Xeon E5-2650 v2 | 256GB RAM | 4x 2TB SSD,,256 GB,256 GB,100 TB,1Gbps,349.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=868,2024-11-06 10:29:34,2025-05-18 14:36:14
Dedicated Servers,870,Dual Intel Xeon E5-2680 v4 | 256GB RAM | 4x 2TB SSD,,256 GB,256 GB,100 TB,1Gbps,399.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=870,2024-11-06 10:29:34,2025-05-18 14:36:14
Dedicated Servers,526,[STORAGE SERVER SPECIAL] Dual Xeon E5-2640 V2 | 64 GB RAM | 10x 16 TB SAS + 256 GB SSD | RAID + BBU,,64 GB,64 GB,200 TB,1Gbps,479.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=526,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,746,Intel Xeon E3-1230 V3 (10Gbps Unmetered),,32 GB,32 GB,,,599.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=746,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,747,Intel Xeon E-2136 (10Gbps Unmetered),,32 GB,32 GB,,,799.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=747,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,748,Dual Intel Xeon E5-2630 V4 (10Gbps Unmetered),,64 GB,64 GB,,,950.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=748,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,749,Dual Intel Xeon E5-2695 V4 (10Gbps Unmetered),,128 GB,128 GB,,,1399.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=749,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,750,AMD EPYC 7642 (10Gbps Unmetered),,128 GB,128 GB,,,1699.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=750,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,751,AMD EPYC 7702P (10Gbps Unmetered),,128 GB,128 GB,,,1999.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=751,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,752,Intel Xeon E3-1230 V3 (20Gbps Unmetered),,32 GB,32 GB,,,1499.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=752,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,753,Intel Xeon E-2136 (20Gbps Unmetered),,32 GB,32 GB,,,1699.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=753,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,754,Dual Intel Xeon E5-2630 V4 (20Gbps Unmetered),,64 GB,64 GB,,,1850.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=754,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,755,Dual Intel Xeon E5-2695 V4 (20Gbps Unmetered),,128 GB,128 GB,,,2299.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=755,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,756,AMD EPYC 7642 (20Gbps Unmetered),,128 GB,128 GB,,,2599.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=756,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,757,AMD EPYC 7702P (20Gbps Unmetered),,128 GB,128 GB,,,2899.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=757,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,758,Intel Xeon E3-1230 V3 (40Gbps Unmetered),,32 GB,32 GB,,,2799.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=758,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,759,Intel Xeon E-2136 (40Gbps Unmetered),,32 GB,32 GB,,,2999.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=759,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,760,Dual Intel Xeon E5-2630 V4 (40Gbps Unmetered),,64 GB,64 GB,,,3150.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=760,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,761,Dual Intel Xeon E5-2695 V4 (40Gbps Unmetered),,128 GB,128 GB,,,4499.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=761,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,762,AMD EPYC 7642 (40Gbps Unmetered),,128 GB,128 GB,,,4799.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=762,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,763,AMD EPYC 7702P (40Gbps Unmetered),,128 GB,128 GB,,,5099.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=763,2024-11-06 10:29:34,2025-05-18 14:36:14
AMD Ryzen/EPYC Dedicated Servers,863,AMD Ryzen 5950X | 128GB RAM | 2TB NVMe,,128 GB,128 GB,40 TB,1Gbps,309.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=863,2024-11-06 10:29:34,2025-05-18 14:36:14
AMD Ryzen/EPYC Dedicated Servers,861,AMD Ryzen 7600 | 64GB RAM | 1TB NVMe,,64 GB,64 GB,40 TB,1Gbps,219.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=861,2024-11-06 10:29:34,2025-05-18 14:36:14
AMD Ryzen/EPYC Dedicated Servers,862,AMD Ryzen 7700 | 64GB RAM | 1TB NVMe,,64 GB,64 GB,40 TB,1Gbps,249.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=862,2024-11-06 10:29:34,2025-05-18 14:36:14
AMD Ryzen/EPYC Dedicated Servers,864,AMD Ryzen 7900 | 64GB RAM | 1TB NVMe,,64 GB,64 GB,40 TB,1Gbps,269.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=864,2024-11-06 10:29:34,2025-05-18 14:36:14
AMD Ryzen/EPYC Dedicated Servers,865,AMD Ryzen 7950X3D | 128GB RAM | 1TB NVMe,,128 GB,128 GB,40 TB,1Gbps,379.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=865,2024-11-06 10:29:34,2025-05-18 14:36:14
AMD Ryzen/EPYC Dedicated Servers,866,AMD Ryzen 7950X3D | 192GB RAM | 2x 3.84TB NVMe,,84 TB,192 GB,40 TB,1Gbps,499.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=866,2024-11-06 10:29:34,2025-05-18 14:36:14
SEO Dedicated Servers,275,Intel Xeon E3-1240 v3 - LA / DAL / CHI / NY,,16 GB,16 GB,30 TB,1Gbps,229.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=275,2024-11-06 10:29:34,2025-05-18 14:36:14
SEO Dedicated Servers,854,Dual Intel Xeon E5-2620 v2 - LA / DAL / CHI / NY,,64 GB,64 GB,30 TB,1Gbps,299.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=854,2024-11-06 10:29:34,2025-05-18 14:36:14
SEO Dedicated Servers,276,Intel Xeon E3-1240 v3 - 32x /29's - NY,,16 GB,16 GB,30 TB,1Gbps,269.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=276,2024-11-06 10:29:34,2025-05-18 14:36:14
SEO Dedicated Servers,277,"Intel Xeon E3-1230 v2 - Los Angeles DC-01

                                            0 Available",,,16 GB,,,235.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=277,2024-11-06 10:29:34,2025-05-18 14:36:14
SEO Dedicated Servers,278,"Dual Xeon L5520 - Los Angeles DC-01

                                            0 Available",,24 GB,24 GB,,,245.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=278,2024-11-06 10:29:34,2025-05-18 14:36:14
Windows VPS with NVMe SSD,293,Windows VPS 2GB,1x AMD Ryzen CPU Core,35 GB,2 GB,2000GB,1Gbps,27.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=293,2024-11-06 10:29:34,2025-05-18 14:36:14
Windows VPS with NVMe SSD,294,Windows VPS 4GB,2x AMD Ryzen CPU Cores,60 GB,4 GB,2000GB,1Gbps,30.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=294,2024-11-06 10:29:34,2025-05-18 14:36:14
Windows VPS with NVMe SSD,295,Windows VPS 6GB,2x AMD Ryzen CPU Cores,85 GB,6 GB,3000GB,1Gbps,35.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=295,2024-11-06 10:29:34,2025-05-18 14:36:14
Windows VPS with NVMe SSD,296,Windows VPS 8GB,3x AMD Ryzen CPU Cores,110 GB,8 GB,5000GB,1Gbps,44.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=296,2024-11-06 10:29:34,2025-05-18 14:36:14
Windows VPS with NVMe SSD,297,Windows VPS 12GB,4x AMD Ryzen CPU Cores,160 GB,12 GB,6000GB,1Gbps,64.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=297,2024-11-06 10:29:34,2025-05-18 14:36:14
Windows VPS with NVMe SSD,298,Windows VPS 16GB,6x AMD Ryzen CPU Cores,200 GB,16 GB,"10,000GB",1Gbps,89.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=298,2024-11-06 10:29:34,2025-05-18 14:36:14
AMD Ryzen Linux KVM VPS,303,1GB Ryzen VPS,1x AMD Ryzen CPU Core,20 GB,1 GB,2000GB,1Gbps,8.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=303,2024-11-06 10:29:34,2025-05-18 14:36:14
AMD Ryzen Linux KVM VPS,308,1.5 GB Ryzen VPS,1x AMD Ryzen CPU Core,22 GB,1.5 GB,3000GB,1Gbps,35.59,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=308,2024-11-06 10:29:34,2025-05-18 14:36:14
AMD Ryzen Linux KVM VPS,309,2.5 GB Ryzen VPS,2x AMD Ryzen CPU Cores,40 GB,2.5 GB,6000GB,1Gbps,69.59,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=309,2024-11-06 10:29:34,2025-05-18 14:36:14
RackNerd Merchandise,728,Gaming Mousepad,,,,,,,,https://my.racknerd.com/aff.php?aff=12682&pid=728,2024-11-06 10:29:34,2025-05-18 14:36:14
RackNerd Merchandise,733,RackNerd FlexFit Hat,,,,,,,,https://my.racknerd.com/aff.php?aff=12682&pid=733,2024-11-06 10:29:34,2025-05-18 14:36:14
RackNerd Merchandise,729,RackNerd Branded SwissGear Backpack,,,,,,,,https://my.racknerd.com/aff.php?aff=12682&pid=729,2024-11-06 10:29:34,2025-05-18 14:36:14
RackNerd Merchandise,730,RackNerd Coffee Mug,,,,,,,,https://my.racknerd.com/aff.php?aff=12682&pid=730,2024-11-06 10:29:34,2025-05-18 14:36:14
RackNerd Merchandise,731,RackNerd Travel Mug,,,,,,,,https://my.racknerd.com/aff.php?aff=12682&pid=731,2024-11-06 10:29:34,2025-05-18 14:36:14
RackNerd Merchandise,732,RackNerd T-Shirt,,,,,,,,https://my.racknerd.com/aff.php?aff=12682&pid=732,2024-11-06 10:29:34,2025-05-18 14:36:14
Black Friday 2024,879,1 GB KVM VPS (Black Friday 2024),1 vCPU Core,20 GB,1 GB,1500GB,1Gbps,10.99,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=879,2024-11-18 21:32:59,2025-05-18 14:36:14
Black Friday 2024,880,2.5 GB KVM VPS (Black Friday 2024),2 vCPU Cores,40 GB,2.5 GB,3000GB,1Gbps,18.93,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=880,2024-11-18 21:32:59,2025-05-18 14:36:14
Black Friday 2024,881,3 GB KVM VPS (Black Friday 2024),2 vCPU Cores,60 GB,3 GB,5500GB,1Gbps,27.89,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=881,2024-11-18 21:32:59,2025-05-18 14:36:14
Black Friday 2024,882,4.5 GB KVM VPS (Black Friday 2024),3 vCPU Cores,100 GB,4.5 GB,8500GB,1Gbps,39.88,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=882,2024-11-18 21:32:59,2025-05-18 14:36:14
Black Friday 2024,883,5 GB KVM VPS (Black Friday 2024),4 vCPU Cores,130 GB,5 GB,"12,000GB",1Gbps,55.93,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=883,2024-11-18 21:32:59,2025-05-18 14:36:14
Black Friday 2024,884,SHARED - 35 GB (Available in Multiple Locations),,35 GB,,,,13.77,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=884,2024-11-18 21:32:59,2025-05-18 14:36:14
Black Friday 2024,885,SHARED - 75 GB (Available in Multiple Locations),,75 GB,,,,22.93,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=885,2024-11-18 21:32:59,2025-05-18 14:36:14
Black Friday 2024,886,SHARED - 130 GB (Available in Multiple Locations),,130 GB,,25 TB,,51.89,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=886,2024-11-18 21:32:59,2025-05-18 14:36:14
