cat,pid,p_name,cpu,disk,ram,bandwidth,bps,price,period,aff
Dedicated Servers,867,Dual Intel Xeon E5-2650 v2 | 64GB RAM | 1TB SSD,,64 GB,64 GB,100 TB,,199.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=867
Dedicated Servers,871,Dual Intel Xeon E5-2650 v2 | 128GB RAM | 1TB SSD + 3TB HDD,,128 GB,128 GB,50 TB,,245.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=871
Dedicated Servers,868,Dual Intel Xeon E5-2650 v2 | 256GB RAM | 4x 2TB SSD,,256 GB,256 GB,100 TB,,349.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=868
Dedicated Servers,870,Dual Intel Xeon E5-2680 v4 | 256GB RAM | 4x 2TB SSD,,256 GB,256 GB,100 TB,,399.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=870
Dedicated Servers,526,[STORAGE SERVER SPECIAL] Dual Xeon E5-2640 V2 | 64 GB RAM | 10x 16 TB SAS + 256 GB SSD | RAID + BBU,,64 GB,64 GB,200 TB,,479.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=526
High Bandwidth Unmetered Dedicated Servers,746,Intel Xeon E3-1230 V3 (10Gbps Unmetered),,32 GB,32 GB,,,599.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=746
High Bandwidth Unmetered Dedicated Servers,747,Intel Xeon E-2136 (10Gbps Unmetered),,32 GB,32 GB,,,799.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=747
High Bandwidth Unmetered Dedicated Servers,748,Dual Intel Xeon E5-2630 V4 (10Gbps Unmetered),,64 GB,64 GB,,,950.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=748
High Bandwidth Unmetered Dedicated Servers,749,Dual Intel Xeon E5-2695 V4 (10Gbps Unmetered),,128 GB,128 GB,,,1399.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=749
High Bandwidth Unmetered Dedicated Servers,750,AMD EPYC 7642 (10Gbps Unmetered),,128 GB,128 GB,,,1699.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=750
High Bandwidth Unmetered Dedicated Servers,751,AMD EPYC 7702P (10Gbps Unmetered),,128 GB,128 GB,,,1999.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=751
High Bandwidth Unmetered Dedicated Servers,752,Intel Xeon E3-1230 V3 (20Gbps Unmetered),,32 GB,32 GB,,,1499.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=752
High Bandwidth Unmetered Dedicated Servers,753,Intel Xeon E-2136 (20Gbps Unmetered),,32 GB,32 GB,,,1699.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=753
High Bandwidth Unmetered Dedicated Servers,754,Dual Intel Xeon E5-2630 V4 (20Gbps Unmetered),,64 GB,64 GB,,,1850.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=754
High Bandwidth Unmetered Dedicated Servers,755,Dual Intel Xeon E5-2695 V4 (20Gbps Unmetered),,128 GB,128 GB,,,2299.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=755
High Bandwidth Unmetered Dedicated Servers,756,AMD EPYC 7642 (20Gbps Unmetered),,128 GB,128 GB,,,2599.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=756
High Bandwidth Unmetered Dedicated Servers,757,AMD EPYC 7702P (20Gbps Unmetered),,128 GB,128 GB,,,2899.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=757
High Bandwidth Unmetered Dedicated Servers,758,Intel Xeon E3-1230 V3 (40Gbps Unmetered),,32 GB,32 GB,,,2799.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=758
High Bandwidth Unmetered Dedicated Servers,759,Intel Xeon E-2136 (40Gbps Unmetered),,32 GB,32 GB,,,2999.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=759
High Bandwidth Unmetered Dedicated Servers,760,Dual Intel Xeon E5-2630 V4 (40Gbps Unmetered),,64 GB,64 GB,,,3150.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=760
High Bandwidth Unmetered Dedicated Servers,761,Dual Intel Xeon E5-2695 V4 (40Gbps Unmetered),,128 GB,128 GB,,,4499.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=761
High Bandwidth Unmetered Dedicated Servers,762,AMD EPYC 7642 (40Gbps Unmetered),,128 GB,128 GB,,,4799.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=762
High Bandwidth Unmetered Dedicated Servers,763,AMD EPYC 7702P (40Gbps Unmetered),,128 GB,128 GB,,,5099.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=763
AMD Ryzen/EPYC Dedicated Servers,863,AMD Ryzen 5950X | 128GB RAM | 2TB NVMe,,128 GB,128 GB,40 TB,,309.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=863
AMD Ryzen/EPYC Dedicated Servers,861,AMD Ryzen 7600 | 64GB RAM | 1TB NVMe,,64 GB,64 GB,40 TB,,219.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=861
AMD Ryzen/EPYC Dedicated Servers,862,AMD Ryzen 7700 | 64GB RAM | 1TB NVMe,,64 GB,64 GB,40 TB,,249.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=862
AMD Ryzen/EPYC Dedicated Servers,864,AMD Ryzen 7900 | 64GB RAM | 1TB NVMe,,64 GB,64 GB,40 TB,,269.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=864
AMD Ryzen/EPYC Dedicated Servers,865,AMD Ryzen 7950X3D | 128GB RAM | 1TB NVMe,,128 GB,128 GB,40 TB,,379.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=865
AMD Ryzen/EPYC Dedicated Servers,866,AMD Ryzen 7950X3D | 192GB RAM | 2x 3.84TB NVMe,,84 TB,192 GB,40 TB,,499.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=866
SEO Dedicated Servers,275,Intel Xeon E3-1240 v3 - LA / DAL / CHI / NY,,16 GB,16 GB,30 TB,,229.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=275
SEO Dedicated Servers,854,Dual Intel Xeon E5-2620 v2 - LA / DAL / CHI / NY,,64 GB,64 GB,30 TB,,299.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=854
SEO Dedicated Servers,276,Intel Xeon E3-1240 v3 - 32x /29's - NY,,16 GB,16 GB,30 TB,,269.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=276
SEO Dedicated Servers,277,"Intel Xeon E3-1230 v2 - Los Angeles DC-01

                                            0 Available",,,16 GB,,,235.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=277
SEO Dedicated Servers,278,"Dual Xeon L5520 - Los Angeles DC-01

                                            0 Available",,24 GB,24 GB,,,245.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=278
Windows VPS with NVMe SSD,293,Windows VPS 2GB,1x AMD Ryzen CPU Core,35 GB,2 GB,2000GB,1Gbps,27.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=293
Windows VPS with NVMe SSD,294,Windows VPS 4GB,2x AMD Ryzen CPU Cores,60 GB,4 GB,2000GB,1Gbps,30.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=294
Windows VPS with NVMe SSD,295,Windows VPS 6GB,2x AMD Ryzen CPU Cores,85 GB,6 GB,3000GB,1Gbps,35.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=295
Windows VPS with NVMe SSD,296,Windows VPS 8GB,3x AMD Ryzen CPU Cores,110 GB,8 GB,5000GB,1Gbps,44.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=296
Windows VPS with NVMe SSD,297,Windows VPS 12GB,4x AMD Ryzen CPU Cores,160 GB,12 GB,6000GB,1Gbps,64.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=297
Windows VPS with NVMe SSD,298,Windows VPS 16GB,6x AMD Ryzen CPU Cores,200 GB,16 GB,000GB,1Gbps,89.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=298
AMD Ryzen Linux KVM VPS,303,1GB Ryzen VPS,1x AMD Ryzen CPU Core,20 GB,1 GB,2000GB,1Gbps,8.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=303
AMD Ryzen Linux KVM VPS,308,1.5 GB Ryzen VPS,1x AMD Ryzen CPU Core,22 GB,1.5 GB,3000GB,1Gbps,35.59,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=308
AMD Ryzen Linux KVM VPS,309,2.5 GB Ryzen VPS,2x AMD Ryzen CPU Cores,40 GB,2.5 GB,6000GB,1Gbps,69.59,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=309
11.11 Specials,875,1 GB KVM VPS (2024's 11.11 Promo),1x vCPU Core,14 GB,1 GB,2000GB,1Gbps,11.11,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=875
11.11 Specials,876,2 GB KVM VPS (2024's 11.11 Promo),1x vCPU Core,25 GB,2 GB,3000GB,1Gbps,17.98,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=876
11.11 Specials,877,3 GB KVM VPS (2024's 11.11 Promo),2x vCPU Cores,40 GB,3 GB,5000GB,1Gbps,25.98,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=877
11.11 Specials,878,4 GB KVM VPS (2024's 11.11 Promo),3x vCPU Cores,50 GB,4 GB,6000GB,1Gbps,36.88,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=878
RackNerd Merchandise,728,Gaming Mousepad,,,,,,,,https://my.racknerd.com/aff.php?aff=12682&pid=728
RackNerd Merchandise,733,RackNerd FlexFit Hat,,,,,,,,https://my.racknerd.com/aff.php?aff=12682&pid=733
RackNerd Merchandise,729,RackNerd Branded SwissGear Backpack,,,,,,,,https://my.racknerd.com/aff.php?aff=12682&pid=729
RackNerd Merchandise,730,RackNerd Coffee Mug,,,,,,,,https://my.racknerd.com/aff.php?aff=12682&pid=730
RackNerd Merchandise,731,RackNerd Travel Mug,,,,,,,,https://my.racknerd.com/aff.php?aff=12682&pid=731
RackNerd Merchandise,732,RackNerd T-Shirt,,,,,,,,https://my.racknerd.com/aff.php?aff=12682&pid=732
France Grand Opening Specials - KVM VPS,780,1 GB KVM VPS Special (France),1x vCPU Core,20 GB,1 GB,3000GB,1Gbps,17.98,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=780
France Grand Opening Specials - KVM VPS,781,2 GB KVM VPS Special (France),1x vCPU Cores,30 GB,2 GB,4000GB,1Gbps,24.89,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=781
France Grand Opening Specials - KVM VPS,782,4 GB KVM VPS Special (France),2x vCPU Cores,50 GB,4 GB,6000GB,1Gbps,44.59,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=782
Black Friday 2023,792,768 MB KVM VPS (Black Friday 2023),1 vCPU Core,15 GB,768 MB,1000GB,1Gbps,10.18,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=792
Black Friday 2023,793,2 GB KVM VPS (Black Friday 2023),1 vCPU Core,30 GB,2 GB,2500GB,1Gbps,16.98,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=793
Black Friday 2023,794,2.5 GB KVM VPS (Black Friday 2023),2 vCPU Cores,50 GB,2.5 GB,5000GB,1Gbps,25.49,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=794
Black Friday 2023,795,4 GB KVM VPS (Black Friday 2023),2 vCPU Cores,80 GB,4 GB,8000GB,1Gbps,38.88,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=795
Black Friday 2023,796,4.5 GB KVM VPS (Black Friday 2023),4 vCPU Cores,115 GB,4.5 GB,000GB,1Gbps,52.49,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=796
Black Friday 2023,797,"1.5 GB Ryzen 7950X VPS (Black Friday 2023)

                                            0 Available",1 vCPU,30 GB,1.5 GB,2500GB,1Gbps,19.00,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=797
Black Friday 2023,798,"2 GB Ryzen 7950X VPS (Black Friday 2023)

                                            0 Available",2 vCPU,40 GB,2 GB,4000GB,1Gbps,29.00,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=798
Black Friday 2023,799,"3 GB Ryzen 7950X VPS (Black Friday 2023)

                                            0 Available",2 vCPU,55 GB,3 GB,6000GB,1Gbps,45.00,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=799
Black Friday 2023,800,SHARED - 40 GB (Available in Multiple Locations),,40 GB,,3 TB,,12.39,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=800
Black Friday 2023,801,SHARED - 80 GB (Available in Multiple Locations),,80 GB,,6 TB,,21.49,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=801
Black Friday 2023,802,SHARED - 140 GB (Available in Multiple Locations),,140 GB,,20 TB,,49.95,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=802
Black Friday 2023,803,RESELLER - 80 GB (Available in Multiple Locations),,80 GB,,3 TB,,29.88,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=803
Black Friday 2023,804,RESELLER - 120 GB (Available in Multiple Locations),,120 GB,,5 TB,,55.00,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=804
Black Friday 2023,805,RESELLER - 200 GB (Available in Multiple Locations),,200 GB,,10 TB,,79.99,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=805
Black Friday 2023,806,DEDICATED - Intel Xeon E3-1240 V2,,,32 GB,,1Gbps,59.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=806
Black Friday 2023,807,DEDICATED - Dual Intel Xeon E5-2690 V4,,2 TB,64 GB,,1Gbps,149.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=807
Black Friday 2023,809,DEDICATED - SEO Server Special,,16 GB,16 GB,,1Gbps,140.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=809
New Year 2024,826,1 GB KVM VPS (New Year 2024),1 vCPU Core,21 GB,1 GB,1500GB,1Gbps,11.49,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=826
New Year 2024,827,2 GB KVM VPS (New Year 2024),1 vCPU Core,35 GB,2 GB,2500GB,1Gbps,17.38,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=827
New Year 2024,828,3 GB KVM VPS (New Year 2024),2 vCPU Cores,45 GB,3 GB,5000GB,1Gbps,27.98,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=828
New Year 2024,829,4 GB KVM VPS (New Year 2024),2 vCPU Cores,60 GB,4 GB,8000GB,1Gbps,37.38,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=829
New Year 2024,830,"1.2 GB Ryzen 7950X VPS (New Year 2024)

                                            0 Available",1 vCPU,25 GB,1.2 GB,2500GB,1Gbps,18.88,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=830
New Year 2024,831,"2.5 GB Ryzen 7950X VPS (New Year 2024)

                                            0 Available",2 vCPU,38 GB,2.5 GB,4000GB,1Gbps,32.98,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=831
New Year 2024,832,"4 GB Ryzen 7950X VPS (New Year 2024)

                                            0 Available",2 vCPU,65 GB,4 GB,6000GB,1Gbps,55.88,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=832
New Year 2024,833,"DEDICATED - Dual Intel Xeon E5-2620 V2

                                            0 Available",,64 GB,64 GB,,1Gbps,115.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=833
New Year 2024,834,"DEDICATED - Dual Intel Xeon E5-2660 V2

                                            0 Available",,128 GB,128 GB,,1Gbps,179.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=834
New Year 2024,835,DEDICATED - Dual Intel Xeon E5-2690 V4,,128 GB,128 GB,,1Gbps,199.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=835
Chinese New Year 2024,838,1 GB KVM VPS (CNY 2024),1 vCPU Core,15 GB,1 GB,2000GB,1Gbps,10.99,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=838
Chinese New Year 2024,839,1.5 GB KVM VPS (CNY 2024),1 vCPU Core,25 GB,1.5 GB,4000GB,1Gbps,16.88,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=839
Chinese New Year 2024,840,2.5 GB KVM VPS (CNY 2024),2 vCPU Cores,38 GB,2.5 GB,6000GB,1Gbps,23.88,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=840
